# Deepak Jaiswal, David LeBauer, Dan Wang, Tim Wertin, Andrew Leakey, and Steve Long, in prep. Please do not reuse prior to publication without consent of authors
lat,lon,salix_yield
47.87,-119.02,2.27
48.16,-119.09,3.68
48.44,-119.16,2.91
48.73,-119.23,5.08
32.83,-115.86,0.09
33.10,-115.90,0.13
33.38,-115.94,0.13
33.66,-115.98,0.10
33.94,-116.02,0.36
34.22,-116.06,1.04
34.50,-116.10,0.22
34.78,-116.14,0.77
35.06,-116.19,1.00
35.34,-116.23,1.09
35.62,-116.27,0.56
35.91,-116.32,0.65
36.19,-116.36,0.47
36.47,-116.40,1.04
36.75,-116.45,1.10
37.03,-116.49,0.87
37.32,-116.54,0.96
37.60,-116.58,0.90
37.88,-116.63,1.09
38.17,-116.68,0.97
38.45,-116.72,0.40
38.74,-116.77,0.63
39.02,-116.82,1.23
39.30,-116.87,2.20
39.59,-116.92,2.41
39.87,-116.97,2.29
40.16,-117.02,1.92
40.45,-117.07,5.47
40.73,-117.12,2.51
41.02,-117.17,3.88
41.30,-117.22,1.53
41.59,-117.28,1.43
41.88,-117.33,2.17
42.16,-117.38,1.72
42.45,-117.44,2.31
42.73,-117.49,2.31
43.02,-117.55,2.65
43.31,-117.60,2.26
43.60,-117.66,1.95
43.88,-117.72,1.58
44.17,-117.77,2.43
44.46,-117.83,3.06
44.75,-117.89,6.25
45.03,-117.95,6.32
45.32,-118.01,8.14
45.61,-118.07,8.15
45.90,-118.13,7.51
46.19,-118.20,8.55
46.47,-118.26,5.22
46.76,-118.32,2.28
47.05,-118.39,5.92
47.34,-118.45,2.13
47.63,-118.52,2.33
47.91,-118.59,4.13
48.20,-118.65,3.27
48.49,-118.72,5.78
48.78,-118.79,5.74
32.86,-115.53,0.09
33.14,-115.57,0.11
33.42,-115.60,0.93
33.70,-115.64,0.12
33.97,-115.68,0.56
34.25,-115.72,0.48
34.53,-115.76,0.26
34.82,-115.80,0.31
35.10,-115.84,0.40
35.38,-115.88,1.16
35.66,-115.93,0.50
35.94,-115.97,1.31
36.22,-116.01,0.38
36.50,-116.05,0.45
36.79,-116.09,0.59
37.07,-116.14,0.20
37.35,-116.18,0.17
37.64,-116.23,0.99
37.92,-116.27,0.83
38.20,-116.32,1.03
38.49,-116.36,0.30
38.77,-116.41,0.47
39.06,-116.45,0.62
39.34,-116.50,0.81
39.63,-116.55,1.91
39.91,-116.60,2.91
40.20,-116.64,5.54
40.48,-116.69,2.71
40.77,-116.74,1.88
41.05,-116.79,1.88
41.34,-116.84,1.79
41.63,-116.89,1.11
41.91,-116.94,1.39
42.20,-117.00,1.61
42.49,-117.05,2.79
42.77,-117.10,2.02
43.06,-117.15,3.70
43.35,-117.21,1.56
43.64,-117.26,1.37
43.92,-117.32,3.33
44.21,-117.37,1.25
44.50,-117.43,2.84
44.79,-117.49,4.22
45.08,-117.54,7.52
45.36,-117.60,8.68
45.65,-117.66,8.02
45.94,-117.72,7.52
46.23,-117.78,7.56
46.52,-117.84,7.58
46.80,-117.90,3.27
47.09,-117.97,3.15
47.38,-118.03,6.21
47.67,-118.09,4.52
