# Deepak Jaiswal, David LeBauer, Dan Wang, Tim Wertin, and Steve Long, in prep. Please do not reuse prior to publication without consent of authors
"lat","lon","yield"
40.36,-117.82,9.09
40.65,-117.87,9.44
40.94,-117.93,9.16
41.22,-117.98,8.37
41.51,-118.04,7.19
41.79,-118.1,8.29
42.08,-118.15,8.87
42.36,-118.21,7.03
42.65,-118.27,8.15
42.94,-118.33,12.43
43.22,-118.39,9.63
43.51,-118.45,9.78
43.8,-118.51,9.79
44.08,-118.57,10.32
44.37,-118.64,9.92
44.66,-118.7,10.95
44.95,-118.76,11.24
45.23,-118.83,12.43
45.52,-118.89,10.1
45.81,-118.96,7.23
46.1,-119.03,4.12
46.38,-119.1,5.6
46.67,-119.16,6.63
46.96,-119.23,3.33
47.25,-119.3,7.31
47.53,-119.37,7.36
47.82,-119.45,9.65
48.11,-119.52,8.17
48.4,-119.59,10.09
48.68,-119.66,9.61
48.97,-119.74,8.58
32.79,-116.19,4.06
33.07,-116.23,0.11
33.35,-116.27,0.36
33.63,-116.31,0.3
33.91,-116.36,1.59
34.19,-116.4,3.33
34.47,-116.44,1.36
34.75,-116.49,0.36
35.03,-116.53,0.37
35.31,-116.57,0.27
35.59,-116.62,0.74
35.87,-116.66,0.17
36.15,-116.71,0.39
36.43,-116.75,1.41
36.72,-116.8,0.65
37,-116.85,2.29
37.28,-116.89,6.89
37.56,-116.94,4.11
37.85,-116.99,8.04
38.13,-117.04,7.78
38.41,-117.09,7.8
38.7,-117.14,6.69
38.98,-117.19,10.2
39.27,-117.24,11.59
39.55,-117.29,8.46
39.84,-117.34,8.8
40.12,-117.39,7.66
40.41,-117.44,8.9
40.69,-117.5,8.01
40.98,-117.55,7.56
41.26,-117.6,8.08
41.55,-117.66,9.63
41.83,-117.71,9.75
42.12,-117.77,10.56
42.41,-117.82,10.19
42.69,-117.88,9.43
42.98,-117.94,11
43.27,-118,9.18
43.55,-118.06,9.26
43.84,-118.11,7.7
44.13,-118.17,9.8
44.42,-118.24,10.48
44.7,-118.3,10.22
44.99,-118.36,11.2
45.28,-118.42,11.21
45.57,-118.48,12.88
45.85,-118.55,7.54
46.14,-118.61,3.4
46.43,-118.68,5.38
46.72,-118.74,3.37
47,-118.81,4.46
47.29,-118.88,9.24
47.58,-118.95,7.04
47.87,-119.02,8.34
48.16,-119.09,9.68
48.44,-119.16,8.81
48.73,-119.23,10.01
32.83,-115.86,0.13
33.1,-115.9,0.12
33.38,-115.94,0.1
33.66,-115.98,0.17
33.94,-116.02,0.41
34.22,-116.06,1.81
34.5,-116.1,0.22
34.78,-116.14,0.74
35.06,-116.19,0.79
35.34,-116.23,1.05
35.62,-116.27,0.92
35.91,-116.32,0.42
36.19,-116.36,0.74
36.47,-116.4,0.79
36.75,-116.45,0.85
37.03,-116.49,5.58
37.32,-116.54,5.69
37.6,-116.58,5.05
37.88,-116.63,7.1
38.17,-116.68,8
38.45,-116.72,4.72
38.74,-116.77,7.61
39.02,-116.82,8.57
39.3,-116.87,10.26
39.59,-116.92,9.44
39.87,-116.97,9.18
40.16,-117.02,8.7
40.45,-117.07,10.08
40.73,-117.12,9.38
41.02,-117.17,8.28
41.3,-117.22,7.87
41.59,-117.28,8.24
41.88,-117.33,9.25
42.16,-117.38,8.4
42.45,-117.44,9.91
42.73,-117.49,9.2
43.02,-117.55,10.93
43.31,-117.6,9.32
43.6,-117.66,8.45
43.88,-117.72,6.61
44.17,-117.77,10.2
44.46,-117.83,10.95
44.75,-117.89,11.19
45.03,-117.95,10.59
45.32,-118.01,11.88
45.61,-118.07,12.99
45.9,-118.13,12.71
46.19,-118.2,11.94
46.47,-118.26,5.74
46.76,-118.32,7.01
47.05,-118.39,10.05
47.34,-118.45,7.6
47.63,-118.52,8.53
47.91,-118.59,10.78
48.2,-118.65,8.99
48.49,-118.72,10.12
48.78,-118.79,10.1
32.86,-115.53,0.09
33.14,-115.57,0.1
33.42,-115.6,0.96
33.7,-115.64,0.29
33.97,-115.68,0.56
34.25,-115.72,0.56
34.53,-115.76,0.24
34.82,-115.8,0.24
35.1,-115.84,0.26
35.38,-115.88,0.98
35.66,-115.93,1.41
35.94,-115.97,1.23
36.22,-116.01,0.22
36.5,-116.05,0.32
36.79,-116.09,0.79
37.07,-116.14,1.46
37.35,-116.18,4.13
37.64,-116.23,6.57
37.92,-116.27,6.97
38.2,-116.32,6.88
38.49,-116.36,5.36
38.77,-116.41,5.96
39.06,-116.45,6.49
39.34,-116.5,6.78
39.63,-116.55,9.25
39.91,-116.6,9.95
40.2,-116.64,10.34
40.48,-116.69,8.81
40.77,-116.74,7.23
41.05,-116.79,7.96
41.34,-116.84,8.55
41.63,-116.89,5.99
41.91,-116.94,6.26
42.2,-117,7.19
42.49,-117.05,9.83
42.77,-117.1,8.78
43.06,-117.15,10.44
43.35,-117.21,7.82
43.64,-117.26,5.88
43.92,-117.32,3.53
44.21,-117.37,4.32
44.5,-117.43,10.82
44.79,-117.49,11.72
45.08,-117.54,11.31
45.36,-117.6,12.8
45.65,-117.66,12
45.94,-117.72,13.11
46.23,-117.78,12.7
46.52,-117.84,9.53
46.8,-117.9,8.77
47.09,-117.97,9.5
47.38,-118.03,10.49
47.67,-118.09,11.3
47.96,-118.16,11.73
48.25,-118.22,10.52
48.54,-118.29,10.88
48.82,-118.35,12.67
32.89,-115.2,0.14
33.17,-115.23,0.16
33.45,-115.27,0.24
33.73,-115.31,0.29
34.01,-115.35,0.15
34.29,-115.38,0.62
34.57,-115.42,0.57
34.85,-115.46,2.5
35.13,-115.5,2.54
35.41,-115.54,2.16
35.69,-115.58,1.39
35.97,-115.62,0.2
36.26,-115.66,5.71
36.54,-115.7,0.37
36.82,-115.74,0.69
37.1,-115.78,1.1
37.39,-115.83,3.97
37.67,-115.87,7.54
37.95,-115.91,4.21
38.24,-115.95,7.19
38.52,-116,6.04
38.81,-116.04,6.97
39.09,-116.09,6.75
39.38,-116.13,7.32
39.66,-116.18,8.18
39.95,-116.22,9.73
40.23,-116.27,10.72
40.52,-116.32,9.5
40.81,-116.36,8.25
41.09,-116.41,7.58
41.38,-116.46,9.27
41.66,-116.51,9.02
41.95,-116.56,7.47
42.24,-116.61,8.69
42.53,-116.66,10.33
42.81,-116.71,10.74
43.1,-116.76,10.6
43.39,-116.81,9.21
43.68,-116.86,2.8
43.96,-116.92,3.33
44.25,-116.97,6.52
44.54,-117.03,10.14
44.83,-117.08,10.76
45.12,-117.14,11.29
45.4,-117.19,10.45
45.69,-117.25,9.9
45.98,-117.31,11.2
46.27,-117.36,11.58
46.56,-117.42,10.99
46.85,-117.48,9.84
47.13,-117.54,11.66
47.42,-117.6,11.52
47.71,-117.66,11.51
48,-117.72,11.03
48.29,-117.79,11.62
48.58,-117.85,10.32
48.87,-117.92,12.26
32.92,-114.86,0.21
33.2,-114.9,0.16
33.48,-114.94,0.18
33.76,-114.97,0.18
34.04,-115.01,0.53
34.32,-115.04,0.61
34.6,-115.08,0.56
34.88,-115.12,1.07
35.16,-115.16,2.37
35.44,-115.19,0.3
35.72,-115.23,0.95
36.01,-115.27,0.82
36.29,-115.31,2.82
36.57,-115.35,5.77
36.85,-115.39,0.73
37.14,-115.43,1.76
37.42,-115.47,6.59
37.7,-115.51,4.53
37.99,-115.55,4.98
38.27,-115.59,8.01
38.56,-115.63,10.46
38.84,-115.68,8.67
39.13,-115.72,5.77
39.41,-115.76,9.47
39.7,-115.81,9.11
39.98,-115.85,8.88
40.27,-115.89,9.85
40.55,-115.94,10.04
40.84,-115.99,6.17
41.13,-116.03,8.02
41.41,-116.08,10.01
41.7,-116.12,10.29
41.99,-116.17,11.17
42.27,-116.22,10.32
42.56,-116.27,9.86
42.85,-116.32,6.19
43.14,-116.37,4.55
43.42,-116.42,3.51
43.71,-116.47,6.41
44,-116.52,11.79
44.29,-116.57,9
44.58,-116.62,11.52
44.87,-116.67,11.83
45.15,-116.73,13.23
45.44,-116.78,12.41
45.73,-116.84,10.23
46.02,-116.89,11.15
46.31,-116.95,11.67
46.6,-117,13.37
46.89,-117.06,13.17
47.17,-117.12,12.65
47.46,-117.17,11.99
47.75,-117.23,12.58
48.04,-117.29,12.67
48.33,-117.35,12.59
48.62,-117.41,12.1
48.91,-117.48,12.03
32.67,-114.5,0.13
32.95,-114.53,0.18
33.23,-114.57,0.15
33.51,-114.6,0.15
33.79,-114.63,0.13
34.07,-114.67,0.13
34.35,-114.7,0.34
34.63,-114.74,0.78
34.91,-114.78,0.34
35.19,-114.81,0.46
35.47,-114.85,0.91
35.75,-114.88,0.18
36.04,-114.92,0.23
36.32,-114.96,0.2
36.6,-115,5.95
36.88,-115.03,0.36
37.17,-115.07,1.86
37.45,-115.11,1.81
37.74,-115.15,3.94
38.02,-115.19,6.95
38.3,-115.23,4.66
38.59,-115.27,6.97
38.87,-115.31,7.03
39.16,-115.35,6.38
39.44,-115.39,6.27
39.73,-115.43,9.61
40.02,-115.48,8.6
40.3,-115.52,9.1
40.59,-115.56,10.47
40.87,-115.61,9.23
41.16,-115.65,8.52
41.45,-115.7,8.46
41.74,-115.74,9.32
42.02,-115.79,10.02
42.31,-115.83,9.65
42.6,-115.88,5
42.88,-115.92,2.86
43.17,-115.97,1.72
43.46,-116.02,7.76
43.75,-116.07,12.24
44.04,-116.12,11.24
44.33,-116.17,12.32
44.61,-116.22,11.92
44.9,-116.27,11.78
45.19,-116.32,12.71
45.48,-116.37,12.47
45.77,-116.42,12.63
46.06,-116.47,13.12
46.35,-116.53,13.22
46.64,-116.58,12.96
46.92,-116.64,13.65
47.21,-116.69,13.29
47.5,-116.75,12.89
47.79,-116.8,13.14
48.08,-116.86,13.02
