# Dan Wang, David LeBauer, and Michael Dietze 2013. Predicting yields of short-rotation hybrid poplar (Populus spp.) for the United States through model–data synthesis. Ecological Applications 23:944–958. http://dx.doi.org/10.1890/12-0854.1
"lon","lat","poplar_yield"
-84.75,31.75,11.3
-84.25,31.75,8.11
-83.75,31.75,9.88
-83.25,31.75,8.38
-82.75,31.75,9.27
-82.25,31.75,6.14
-81.75,31.75,7.58
-81.25,31.75,6.92
-117.25,32.25,3.69
-116.75,32.25,3.58
-116.25,32.25,2.22
-115.75,32.25,1.69
-115.25,32.25,1.63
-114.75,32.25,2.02
-114.25,32.25,1.47
-113.75,32.25,2.26
-113.25,32.25,2.93
-112.75,32.25,3.23
-112.25,32.25,3.85
-111.75,32.25,4.39
-111.25,32.25,4.37
-110.75,32.25,6.54
-110.25,32.25,3.93
-109.75,32.25,3.54
-109.25,32.25,4.09
-108.75,32.25,3.12
-108.25,32.25,2.57
-107.75,32.25,2.94
-107.25,32.25,4.09
-106.75,32.25,4.27
-106.25,32.25,5.73
-105.75,32.25,5.68
-105.25,32.25,5.03
-104.75,32.25,2.68
-104.25,32.25,5.18
-103.75,32.25,5.44
-103.25,32.25,4.88
-102.75,32.25,4.67
-102.25,32.25,4.89
-101.75,32.25,4.87
-101.25,32.25,5.43
-100.75,32.25,6.37
-100.25,32.25,5.5
-99.75,32.25,3.72
-99.25,32.25,5.27
-98.75,32.25,6.01
-98.25,32.25,6.64
-97.75,32.25,6.51
-97.25,32.25,6.01
-96.75,32.25,7.58
-96.25,32.25,8.54
-95.75,32.25,8.94
-95.25,32.25,9.61
-94.75,32.25,9.94
-94.25,32.25,10.6
-93.75,32.25,11.2
-93.25,32.25,11.9
-92.75,32.25,11.7
-92.25,32.25,11.6
-91.75,32.25,11.8
-91.25,32.25,11.6
-90.75,32.25,11.4
-90.25,32.25,11.3
-89.75,32.25,11.7
-89.25,32.25,10.8
-88.75,32.25,10.8
-88.25,32.25,10.7
-87.75,32.25,10.4
-87.25,32.25,0.874
-86.75,32.25,2.49
-86.25,32.25,5.86
-85.75,32.25,0.859
-85.25,32.25,0.811
-84.75,32.25,4.81
-84.25,32.25,4.44
-83.75,32.25,5.6
-83.25,32.25,4.62
-82.75,32.25,1.59
-82.25,32.25,4.79
-81.75,32.25,5.57
-81.25,32.25,7.93
-80.75,32.25,6.06
-117.25,32.75,3.77
-116.75,32.75,3.6
-116.25,32.75,3.61
-115.75,32.75,2.35
-115.25,32.75,2.31
-114.75,32.75,1.25
-114.25,32.75,3.64
-113.75,32.75,2.36
-113.25,32.75,2.22
-112.75,32.75,3.57
-112.25,32.75,3.57
-111.75,32.75,4.51
-111.25,32.75,3.09
-110.75,32.75,3.92
-110.25,32.75,2.85
-109.75,32.75,3.14
-109.25,32.75,3.01
-108.75,32.75,2.93
-108.25,32.75,3.03
-107.75,32.75,3.01
-107.25,32.75,3.89
-106.75,32.75,3.07
-106.25,32.75,4.46
-105.75,32.75,5.33
-105.25,32.75,2.92
-104.75,32.75,2.8
-104.25,32.75,4.67
-103.75,32.75,4.62
-103.25,32.75,2.78
-102.75,32.75,4.88
-102.25,32.75,5.01
-101.75,32.75,5.71
-101.25,32.75,7.71
-100.75,32.75,6.18
-100.25,32.75,3.82
-99.75,32.75,8.82
-99.25,32.75,7.6
-98.75,32.75,7.9
-98.25,32.75,8.27
-97.75,32.75,6.22
-97.25,32.75,6.35
-96.75,32.75,6.28
-96.25,32.75,6.74
-95.75,32.75,0.752
-95.25,32.75,0.76
-94.75,32.75,0.751
-94.25,32.75,0.747
-93.75,32.75,11.6
-93.25,32.75,11.7
-92.75,32.75,11.3
-92.25,32.75,9.93
-91.75,32.75,10.9
-91.25,32.75,11.4
-90.75,32.75,11.1
-90.25,32.75,11.7
-89.75,32.75,11
-89.25,32.75,10.8
-88.75,32.75,11.1
-88.25,32.75,10.7
-87.75,32.75,0.773
-87.25,32.75,2.85
-86.75,32.75,4.1
-86.25,32.75,5.82
-85.75,32.75,0.824
-85.25,32.75,0.791
-84.75,32.75,0.804
-84.25,32.75,4.92
-83.75,32.75,4.56
-83.25,32.75,4.84
-82.75,32.75,0.604
-82.25,32.75,0.705
-81.75,32.75,5.9
-81.25,32.75,6.79
-80.75,32.75,6.73
-80.25,32.75,7.43
-79.75,32.75,8.28
-118.25,33.25,3.16
-117.75,33.25,3.18
-117.25,33.25,3.35
-116.75,33.25,2.55
-116.25,33.25,3.76
-115.75,33.25,3.33
-115.25,33.25,3.32
-114.75,33.25,3.46
-114.25,33.25,3.52
-113.75,33.25,3.39
-113.25,33.25,2.24
-112.75,33.25,1.81
-112.25,33.25,3.04
-111.75,33.25,4.48
-111.25,33.25,3.48
-110.75,33.25,3.37
-110.25,33.25,3.25
-109.75,33.25,3.2
-109.25,33.25,3.15
-108.75,33.25,3.09
-108.25,33.25,2.41
-107.75,33.25,2.92
-107.25,33.25,4.18
-106.75,33.25,3.52
-106.25,33.25,5.44
-105.75,33.25,3.86
-105.25,33.25,2.94
-104.75,33.25,2.85
-104.25,33.25,5.36
-103.75,33.25,4.95
-103.25,33.25,3.08
-102.75,33.25,5.36
-102.25,33.25,5.51
-101.75,33.25,5.59
-101.25,33.25,6.18
-100.75,33.25,4.31
-100.25,33.25,5.26
-99.75,33.25,7.28
-99.25,33.25,6.17
-98.75,33.25,8.13
-98.25,33.25,7.48
-97.75,33.25,6.96
-97.25,33.25,5.71
-96.75,33.25,4.87
-96.25,33.25,2.84
-95.75,33.25,5.68
-95.25,33.25,2.35
-94.75,33.25,0.734
-94.25,33.25,0.767
-93.75,33.25,0.836
-93.25,33.25,0.823
-92.75,33.25,0.801
-92.25,33.25,9.78
-91.75,33.25,10.6
-91.25,33.25,10.3
-90.75,33.25,10.4
-90.25,33.25,10.8
-89.75,33.25,10.9
-89.25,33.25,11.2
-88.75,33.25,11.1
-88.25,33.25,5.5
-87.75,33.25,5.74
-87.25,33.25,6.51
-86.75,33.25,6.9
-86.25,33.25,5.3
-85.75,33.25,5.34
-85.25,33.25,6.26
-84.75,33.25,5.87
-84.25,33.25,5.71
-83.75,33.25,5.42
-83.25,33.25,3.8
-82.75,33.25,2.1
-82.25,33.25,3.22
-81.75,33.25,7.46
-81.25,33.25,6.92
-80.75,33.25,6.63
-80.25,33.25,9.46
-79.75,33.25,11.5
-79.25,33.25,11.6
-120.25,33.75,3.64
-118.25,33.75,2.58
-117.75,33.75,2.51
-117.25,33.75,2.19
-116.75,33.75,3.18
-116.25,33.75,3.22
-115.75,33.75,3.25
-115.25,33.75,3.63
-114.75,33.75,3.34
-114.25,33.75,2.79
-113.75,33.75,1.46
-113.25,33.75,0.563
-112.75,33.75,0.571
-112.25,33.75,2.25
-111.75,33.75,5.85
-111.25,33.75,3.22
-110.75,33.75,3.14
-110.25,33.75,3.08
-109.75,33.75,3.26
-109.25,33.75,3.05
-108.75,33.75,3.16
-108.25,33.75,2.9
-107.75,33.75,3.12
-107.25,33.75,2.99
-106.75,33.75,3
-106.25,33.75,3.73
-105.75,33.75,3.13
-105.25,33.75,3.46
-104.75,33.75,2.84
-104.25,33.75,4.99
-103.75,33.75,4.86
-103.25,33.75,4.97
-102.75,33.75,5.27
-102.25,33.75,5.36
-101.75,33.75,6
-101.25,33.75,4.15
-100.75,33.75,7.73
-100.25,33.75,5.82
-99.75,33.75,4.28
-99.25,33.75,6.73
-98.75,33.75,7.63
-98.25,33.75,7.26
-97.75,33.75,7.32
-97.25,33.75,6.92
-96.75,33.75,7.45
-96.25,33.75,7.64
-95.75,33.75,4.46
-95.25,33.75,7.15
-94.75,33.75,1.51
-94.25,33.75,4.55
-93.75,33.75,4.27
-93.25,33.75,3.55
-92.75,33.75,2.54
-92.25,33.75,2.67
-91.75,33.75,3.33
-91.25,33.75,0.797
-90.75,33.75,8.97
-90.25,33.75,10.4
-89.75,33.75,10.6
-89.25,33.75,10.9
-88.75,33.75,10.9
-88.25,33.75,10.1
-87.75,33.75,11.3
-87.25,33.75,10.8
-86.75,33.75,5.64
-86.25,33.75,11.2
-85.75,33.75,8.58
-85.25,33.75,7.12
-84.75,33.75,5.25
-84.25,33.75,4.89
-83.75,33.75,5.27
-83.25,33.75,5.6
-82.75,33.75,5.86
-82.25,33.75,5.12
-81.75,33.75,9.59
-81.25,33.75,7.56
-80.75,33.75,11.7
-80.25,33.75,8.91
-79.75,33.75,8.87
-79.25,33.75,11.5
-78.75,33.75,11.4
-78.25,33.75,11.5
-120.25,34.25,3.38
-119.75,34.25,3.43
-119.25,34.25,2.18
-118.75,34.25,2.08
-118.25,34.25,2.02
-117.75,34.25,1.85
-117.25,34.25,1.82
-116.75,34.25,2.38
-116.25,34.25,2.67
-115.75,34.25,3.18
-115.25,34.25,3.47
-114.75,34.25,3.14
-114.25,34.25,2.04
-113.75,34.25,0.556
-113.25,34.25,1.74
-112.75,34.25,2.09
-112.25,34.25,3.06
-111.75,34.25,4.6
-111.25,34.25,4.53
-110.75,34.25,3.32
-110.25,34.25,3.59
-109.75,34.25,3.43
-109.25,34.25,3.33
-108.75,34.25,2.88
-108.25,34.25,2.58
-107.75,34.25,3.44
-107.25,34.25,5.1
-106.75,34.25,5.63
-106.25,34.25,3.92
-105.75,34.25,3.77
-105.25,34.25,3.08
-104.75,34.25,1.48
-104.25,34.25,5.45
-103.75,34.25,4.73
-103.25,34.25,4.54
-102.75,34.25,4.89
-102.25,34.25,1.83
-101.75,34.25,2.03
-101.25,34.25,2.15
-100.75,34.25,6.94
-100.25,34.25,2.22
-99.75,34.25,4.14
-99.25,34.25,5.71
-98.75,34.25,5.98
-98.25,34.25,6.38
-97.75,34.25,7.15
-97.25,34.25,7.41
-96.75,34.25,5.16
-96.25,34.25,7.35
-95.75,34.25,5.25
-95.25,34.25,4.96
-94.75,34.25,4.43
-94.25,34.25,6.56
-93.75,34.25,3.68
-93.25,34.25,5.39
-92.75,34.25,3.86
-92.25,34.25,10.3
-91.75,34.25,10.3
-91.25,34.25,3.84
-90.75,34.25,8.48
-90.25,34.25,9.72
-89.75,34.25,11
-89.25,34.25,11.5
-88.75,34.25,11.7
-88.25,34.25,11.6
-87.75,34.25,11.8
-87.25,34.25,8.89
-86.75,34.25,11.3
-86.25,34.25,11.3
-85.75,34.25,10.2
-85.25,34.25,9.24
-84.75,34.25,9.43
-84.25,34.25,10.3
-83.75,34.25,7.76
